Trial_Name;Dataset;Pruned;accuracy;precision;recall;f1;f2;mcc;S;test_accuracy;test_precision;test_recall;test_f1;test_f2;test_mcc;test_S;mcc_normalized;test_mcc_normalized
BERT_Extra_Layer_Trial_29_2024-12-23_00-38-41;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_30_2024-12-23_00-43-32;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949674866;0,9143898;0,922794118;0,918572736;0,921100917;0,882177459;0,901639188;0,942606729;0,911627907;0,900735294;0,906148867;0,902892943;0,86484765;0,883870297;;
BERT_Extra_Layer_Trial_31_2024-12-23_00-53-28;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,948261238;0,900088417;0,935661765;0,917530419;0,92832391;0,880208745;0,904266328;0,945151258;0,906363636;0,916360294;0,911334552;0,91434336;0,87165848;0,89300092;;
BERT_Extra_Layer_Trial_32_2024-12-23_01-00-16;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949109415;0,913479053;0,921875;0,917657823;0,920183486;0,880853364;0,900518425;0,942889454;0,917137476;0,895220588;0,906046512;0,899519764;0,865162131;0,882340947;;
BERT_Extra_Layer_Trial_33_2024-12-23_01-07-05;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_34_2024-12-23_01-10-22;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_35_2024-12-23_01-13-39;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_36_2024-12-23_01-16-57;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949109415;0,900352734;0,938419118;0,918991899;0,930550492;0,882318799;0,906434646;0,941193101;0,897111913;0,913602941;0,905282332;0,91025641;0,862722278;0,886489344;;
BERT_Extra_Layer_Trial_37_2024-12-23_01-23-46;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_38_2024-12-23_01-27-04;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_39_2024-12-23_01-36-40;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,943737631;0,905936073;0,911764706;0,908841044;0,910592987;0,86816401;0,889378499;0,945151258;0,924098672;0,895220588;0,909430439;0,900850906;0,870335235;0,885593071;;
BERT_Extra_Layer_Trial_40_2024-12-23_01-44-30;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_41_2024-12-23_01-49-22;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_42_2024-12-23_01-52-39;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_43_2024-12-23_01-55-57;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_44_2024-12-23_01-59-15;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_45_2024-12-23_02-02-32;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,949674866;0,910649819;0,927389706;0,918943534;0,923992674;0,882534529;0,903263602;0,948261238;0,914757104;0,917279412;0,916016521;0,916773838;0,878633276;0,897703557;;
BERT_Extra_Layer_Trial_46_2024-12-23_02-09-21;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_47_2024-12-23_02-12-39;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,947978513;0,905745063;0,927389706;0,9164396;0,922978412;0,878809557;0,900893984;0,947130336;0,916743756;0,910845588;0,913785154;0,912019142;0,875670849;0,893844996;;
BERT_Extra_Layer_Trial_48_2024-12-23_02-19-28;Dataset_anonymized_annotated_comments_same_annotation_final.csv;1;;;;;;;;;;;;;;;;
BERT_Extra_Layer_Trial_49_2024-12-23_02-22-47;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,944020356;0,91511194;0,901654412;0,908333333;0,904314159;0,868092829;0,886203494;0,935538592;0,923228346;0,862132353;0,891634981;0,873695976;0,846840285;0,860268131;;
model_extra_Layer_trial_36_2024-12-23_02-30.bin;forschungsprojekt_datensatz.xls;;;;;;;;;0,743718593;0,417190776;0,604863222;0,493796526;0,554935862;0,34008252;0,447509191;;
BERT_Extra_Layer_Trial_0_2025-01-04_23-57-56;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,906666667;0,828125;0,946428571;0,883333333;0,920138889;0,811122743;0,91285013;0,926666667;0,920454545;0,952941176;0,936416185;0,946261682;0,85057685;0,935775054;0,905561371;0,925288425
BERT_Extra_Layer_Trial_1_2025-01-04_23-58-10;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,88;0,827586207;0,857142857;0,842105263;0,85106383;0,745677579;0,86195131;0,88;0,903614458;0,882352941;0,892857143;0,886524823;0,756814382;0,882466007;0,87283879;0,878407191
BERT_Extra_Layer_Trial_2_2025-01-04_23-58-20;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,913333333;0,811594203;1;0,896;0,955631399;0,836272953;0,936883938;0,94;0,913043478;0,988235294;0,949152542;0,972222222;0,880346912;0,956197839;0,918136476;0,940173456
BERT_Extra_Layer_Trial_3_2025-01-04_23-58-33;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,88;0,865384615;0,803571429;0,833333333;0,815217391;0,741024079;0,842864715;0,906666667;0,927710843;0,905882353;0,916666667;0,910165485;0,810936984;0,907816988;0,87051204;0,905468492
BERT_Extra_Layer_Trial_4_2025-01-04_23-58-46;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,913333333;0,877192982;0,892857143;0,884955752;0,889679715;0,815527954;0,898721846;0,9;0,926829268;0,894117647;0,910179641;0,900473934;0,798134718;0,899770646;0,907763977;0,899067359
BERT_Extra_Layer_Trial_5_2025-01-04_23-58-57;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,92;0,833333333;0,982142857;0,901639344;0,948275862;0,842992043;0,934885942;0,913333333;0,9;0,952941176;0,925714286;0,941860465;0,823852555;0,926893371;0,921496021;0,911926277
BERT_Extra_Layer_Trial_0_2025-01-05_00-11-41;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,813333333;0,712121212;0,839285714;0,770491803;0,810344828;0,620859752;0,810387352;0,873333333;0,85106383;0,941176471;0,893854749;0,921658986;0,743567315;0,896721322;0,810429876;0,871783657
BERT_Extra_Layer_Trial_1_2025-01-05_00-12-01;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,693333333;0,551020408;0,964285714;0,701298701;0,838509317;0,504313417;0,795333013;0,82;0,763636364;0,988235294;0,861538462;0,933333333;0,659160055;0,881456681;0,752156709;0,829580028
BERT_Extra_Layer_Trial_2_2025-01-05_00-12-13;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,92;0,879310345;0,910714286;0,894736842;0,904255319;0,830585198;0,909773959;0,9;0,926829268;0,894117647;0,910179641;0,900473934;0,798134718;0,899770646;0,915292599;0,899067359
BERT_Extra_Layer_Trial_3_2025-01-05_00-12-29;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,913333333;0,877192982;0,892857143;0,884955752;0,889679715;0,815527954;0,898721846;0,906666667;0,917647059;0,917647059;0,917647059;0,917647059;0,809954751;0,911312217;0,907763977;0,904977376
BERT_Extra_Layer_Trial_0_2025-01-05_00-16-27;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,906666667;0,818181818;0,964285714;0,885245902;0,931034483;0,815225506;0,919323618;0,893333333;0,887640449;0,929411765;0,908045977;0,920745921;0,782392654;0,905971124;0,907612753;0,891196327
BERT_Extra_Layer_Trial_1_2025-01-05_00-16-46;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,933333333;0,896551724;0,928571429;0,912280702;0,921985816;0,858887738;0,925714842;0,933333333;0,941176471;0,941176471;0,941176471;0,941176471;0,864253394;0,936651584;0,929443869;0,932126697
BERT_Extra_Layer_Trial_2_2025-01-05_00-17-02;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,9;0,859649123;0,875;0,867256637;0,871886121;0,787132134;0,882726094;0,886666667;0,895348837;0,905882353;0,900584795;0,903755869;0,768883432;0,894098792;0,893566067;0,884441716
BERT_Extra_Layer_Trial_3_2025-01-05_00-17-15;Dataset_anonymized_annotated_comments_same_annotation_final.csv;0;0,886666667;0,8;0,928571429;0,859504132;0,899653979;0,771381554;0,892672378;0,92;0,929411765;0,929411765;0,929411765;0,929411765;0,837104072;0,9239819;0,885690777;0,918552036
